iter	RMSE
0	0.7945702088
1	0.7504578941
2	0.7172293784
3	0.6862752727
4	0.6585707872
5	0.6324355752
6	0.6119562966
7	0.5930965768
8	0.5741511925
9	0.5593166607
10	0.547499729
11	0.5344986365
12	0.5233611341
13	0.5158167354
14	0.5064509283
15	0.4983337178
16	0.492328739
17	0.4862966889
18	0.4799240058
19	0.4758640702
20	0.4719063257
21	0.4677847602
22	0.4639106709
23	0.4594584136
24	0.4549667942
25	0.4514212888
26	0.4490469378
27	0.4457333056
28	0.4423870378
29	0.438901522
30	0.436561419
31	0.433373429
32	0.4311594919
33	0.428961103
34	0.4268259944
35	0.4243050886
36	0.4223749319
37	0.420841774
38	0.4192488005
39	0.4175961859
40	0.4155011704
41	0.4137242976
42	0.4118429738
43	0.4100998293
44	0.4090820254
45	0.4082997305
46	0.407033499
47	0.405654196
48	0.4043988996
49	0.4040500249
50	0.4028410013
51	0.4017205149
52	0.400947797
53	0.3998933588
54	0.3990491346
55	0.3985489714
56	0.3981568317
57	0.3974071135
58	0.396056581
59	0.3947498179
60	0.3937418842
61	0.39237815
62	0.3915333044
63	0.3906586143
64	0.3895438509
65	0.3886972317
66	0.3875814219
67	0.385970835
68	0.3852955486
69	0.3846266159
70	0.3843657822
71	0.3833643759
72	0.3821850728
73	0.3812087631
74	0.3802443092
75	0.3799382017
76	0.3789082251
77	0.3779283867
78	0.3775180868
79	0.3762157497
80	0.3752082844
81	0.3748898296
82	0.373804775
83	0.3726115425
84	0.3723079321
85	0.3713226326
86	0.3701859479
87	0.3691844456
88	0.3688212144
89	0.3684956537
90	0.3673000823
91	0.3669499084
92	0.3664039404
93	0.3660437598
94	0.364851176
95	0.3637313979
96	0.3625904319
97	0.3621090096
98	0.3609610411
99	0.3601361044
