iter	Passed	Remaining
0	7	7518
1	13	6850
2	20	6647
3	26	6556
4	32	6477
5	39	6523
6	45	6479
7	52	6453
8	58	6416
9	64	6368
10	70	6301
11	76	6306
12	83	6362
13	90	6374
14	96	6365
15	103	6362
16	109	6346
17	116	6328
18	122	6317
19	128	6300
20	134	6290
21	141	6280
22	148	6318
23	155	6327
24	160	6254
25	166	6248
26	173	6246
27	179	6239
28	186	6228
29	192	6210
30	198	6206
31	205	6228
32	212	6217
33	218	6206
34	224	6197
35	231	6187
36	237	6176
37	243	6167
38	249	6154
39	256	6153
40	262	6143
41	269	6139
42	275	6127
43	281	6119
44	287	6110
45	294	6101
46	300	6089
47	306	6082
48	312	6074
49	319	6067
50	325	6056
51	331	6050
52	338	6041
53	344	6031
54	350	6020
55	356	6015
56	363	6008
57	369	6001
58	376	6005
59	382	5996
60	389	5992
61	395	5989
62	402	5983
63	408	5974
64	414	5969
65	421	5963
66	427	5955
67	433	5947
68	440	5940
69	446	5932
70	452	5925
71	459	5918
72	465	5912
73	471	5905
74	478	5899
75	484	5895
76	491	5889
77	497	5879
78	503	5872
79	509	5862
80	516	5855
81	522	5845
82	528	5837
83	534	5828
84	540	5822
85	547	5816
86	553	5810
87	559	5802
88	566	5797
89	572	5792
90	579	5785
91	585	5778
92	591	5771
93	599	5774
94	605	5766
95	611	5757
96	617	5751
97	623	5742
98	630	5735
99	636	5726
100	642	5719
101	648	5710
102	654	5702
103	661	5695
104	667	5689
105	673	5682
106	685	5721
107	703	5811
108	711	5812
109	717	5803
110	723	5792
111	730	5791
112	736	5783
113	743	5776
114	750	5776
115	757	5772
116	763	5764
117	770	5756
118	776	5748
119	782	5740
120	789	5732
121	795	5721
122	801	5713
123	807	5704
124	813	5696
125	819	5687
126	826	5678
127	832	5670
128	838	5661
129	844	5652
130	850	5644
131	857	5637
132	863	5630
133	869	5622
134	876	5617
135	883	5610
136	888	5599
137	895	5593
138	901	5586
139	908	5580
140	914	5572
141	920	5563
142	927	5556
143	933	5547
144	941	5549
145	947	5540
146	954	5539
147	961	5532
148	967	5526
149	975	5530
150	982	5522
151	988	5516
152	995	5508
153	1001	5501
154	1007	5493
155	1014	5489
156	1021	5484
157	1027	5476
158	1034	5469
159	1041	5465
160	1047	5457
161	1053	5448
162	1059	5440
163	1065	5432
164	1071	5423
165	1078	5420
166	1085	5414
167	1091	5407
168	1098	5399
169	1104	5392
170	1110	5382
171	1116	5375
172	1122	5365
173	1128	5356
174	1134	5349
175	1141	5342
176	1147	5334
177	1153	5327
178	1159	5319
179	1165	5311
180	1172	5303
181	1178	5296
182	1184	5288
183	1191	5282
184	1197	5275
185	1203	5267
186	1209	5260
