iter	Passed	Remaining
0	63	63393
1	70	34935
2	77	25643
3	83	20865
4	90	18097
5	97	16201
6	104	14820
7	111	13806
8	118	13050
9	125	12443
10	133	12008
11	140	11546
12	145	11047
13	152	10733
14	158	10435
15	165	10190
16	172	9966
17	178	9764
18	185	9593
19	192	9437
20	199	9299
21	206	9165
22	213	9070
23	220	8950
24	227	8859
25	233	8754
26	240	8676
27	247	8591
28	254	8523
29	261	8451
30	268	8385
31	275	8333
32	282	8268
33	288	8205
34	295	8152
35	302	8101
36	308	8041
37	315	7990
38	322	7944
39	329	7897
40	335	7857
41	342	7813
42	349	7773
43	356	7742
44	363	7708
45	369	7669
46	376	7636
47	383	7604
48	390	7573
49	397	7543
50	403	7507
51	410	7483
52	417	7454
53	423	7424
54	430	7399
55	437	7369
56	443	7342
57	450	7315
58	457	7291
59	464	7272
60	471	7252
61	477	7229
62	485	7218
63	491	7191
64	498	7166
65	505	7148
66	512	7130
67	518	7103
68	525	7087
69	532	7070
70	538	7052
71	546	7039
72	552	7021
73	559	7002
74	567	6994
75	573	6973
76	580	6960
77	587	6946
78	594	6926
79	600	6909
80	607	6894
81	614	6878
82	622	6872
83	628	6855
84	635	6838
85	642	6825
86	648	6809
87	655	6796
88	662	6780
89	669	6764
90	676	6757
91	683	6743
92	690	6735
93	697	6723
94	704	6714
95	711	6702
96	718	6687
97	724	6672
98	732	6663
99	739	6651
100	745	6634
101	752	6621
102	758	6606
103	765	6591
104	772	6580
105	778	6567
106	785	6556
107	793	6552
108	800	6540
109	807	6535
110	814	6523
111	821	6512
112	827	6498
113	834	6485
114	840	6470
115	847	6461
116	854	6449
117	861	6438
118	868	6428
119	874	6414
120	881	6403
121	888	6393
122	895	6381
123	901	6370
124	908	6361
125	915	6349
126	922	6339
127	929	6331
128	936	6324
129	943	6316
130	950	6308
131	958	6302
132	965	6292
133	972	6284
134	979	6275
135	985	6261
136	992	6250
137	998	6239
138	1005	6227
139	1011	6214
140	1018	6201
141	1024	6188
142	1030	6176
143	1037	6165
144	1043	6154
145	1050	6142
146	1057	6133
147	1063	6121
148	1069	6110
149	1076	6098
150	1082	6088
151	1089	6076
152	1095	6064
153	1101	6051
154	1107	6039
155	1114	6030
156	1121	6019
157	1127	6006
158	1133	5994
159	1139	5984
160	1146	5972
161	1152	5960
162	1158	5948
163	1164	5937
164	1171	5926
165	1177	5914
166	1183	5904
167	1190	5894
168	1197	5886
169	1206	5889
170	1212	5878
171	1218	5867
172	1225	5858
173	1231	5848
174	1238	5836
175	1244	5825
176	1250	5814
177	1256	5804
178	1263	5795
179	1269	5784
180	1276	5776
181	1283	5769
182	1289	5757
183	1296	5747
184	1302	5738
185	1309	5729
186	1315	5719
187	1321	5709
188	1328	5700
189	1335	5692
190	1341	5681
191	1348	5673
192	1354	5664
193	1361	5655
194	1367	5646
195	1374	5637
196	1380	5627
197	1387	5620
198	1393	5610
199	1400	5600
200	1406	5591
201	1412	5581
202	1419	5571
203	1426	5564
204	1432	5556
205	1439	5549
206	1446	5540
207	1452	5531
208	1459	5523
209	1465	5514
210	1471	5503
211	1478	5494
212	1484	5485
213	1490	5475
214	1497	5467
215	1503	5458
216	1510	5450
217	1517	5443
218	1524	5435
219	1530	5425
220	1536	5416
221	1543	5407
222	1549	5398
223	1555	5390
224	1562	5382
225	1569	5373
226	1575	5364
227	1581	5355
228	1588	5346
229	1594	5337
230	1600	5328
231	1607	5319
232	1613	5310
233	1619	5301
234	1626	5293
235	1632	5284
236	1638	5275
237	1645	5268
238	1651	5259
239	1658	5251
240	1664	5242
241	1670	5233
242	1677	5226
243	1685	5220
244	1691	5211
245	1697	5202
246	1704	5194
247	1710	5185
248	1716	5177
249	1723	5169
250	1729	5160
251	1735	5151
252	1741	5142
253	1748	5133
254	1754	5126
255	1761	5117
256	1767	5109
257	1773	5101
258	1780	5092
259	1787	5088
260	1794	5081
261	1801	5073
262	1807	5064
263	1813	5056
264	1820	5048
265	1826	5040
266	1833	5033
267	1839	5025
268	1846	5016
269	1852	5008
270	1858	4999
271	1864	4990
272	1870	4982
273	1877	4973
274	1883	4965
275	1889	4956
276	1895	4948
277	1901	4939
278	1908	4931
279	1914	4923
280	1920	4915
281	1927	4908
282	1934	4900
283	1940	4892
284	1947	4884
285	1953	4876
286	1959	4868
287	1966	4861
288	1972	4853
289	1979	4845
290	1985	4838
291	1991	4829
292	1998	4821
293	2005	4815
294	2011	4807
295	2017	4799
296	2024	4792
297	2031	4784
298	2037	4776
299	2044	4769
300	2050	4761
301	2056	4753
302	2063	4746
303	2069	4738
304	2076	4730
305	2082	4722
306	2088	4715
307	2095	4709
308	2102	4700
309	2108	4693
310	2115	4686
311	2121	4678
312	2126	4667
313	2132	4659
314	2139	4653
315	2146	4645
316	2152	4637
317	2158	4629
318	2165	4622
319	2171	4614
320	2178	4607
321	2184	4599
322	2190	4590
323	2196	4583
324	2202	4575
325	2209	4568
326	2216	4561
327	2222	4553
328	2228	4545
329	2235	4538
330	2241	4530
331	2247	4522
332	2254	4514
333	2260	4507
334	2266	4499
335	2273	4492
336	2279	4485
337	2286	4478
338	2292	4470
339	2298	4462
340	2305	4455
341	2311	4447
342	2318	4440
343	2324	4432
344	2331	4426
345	2337	4418
346	2344	4411
347	2350	4404
348	2357	4397
349	2363	4389
350	2370	4383
351	2377	4376
352	2383	4369
353	2390	4361
354	2396	4354
355	2403	4347
356	2409	4340
357	2416	4333
358	2423	4326
359	2429	4319
360	2435	4311
361	2442	4304
362	2448	4296
363	2454	4289
364	2461	4282
365	2467	4274
366	2473	4266
367	2480	4259
368	2486	4252
369	2493	4245
370	2499	4237
371	2505	4230
372	2512	4222
373	2518	4215
374	2524	4207
375	2531	4200
376	2537	4193
377	2544	4186
378	2550	4179
379	2556	4171
380	2563	4164
381	2570	4158
382	2576	4151
383	2583	4144
384	2590	4137
385	2596	4130
386	2603	4123
387	2609	4116
388	2616	4108
389	2622	4101
390	2628	4094
391	2634	4086
392	2642	4080
393	2648	4073
394	2654	4066
395	2661	4058
396	2667	4051
397	2674	4045
398	2680	4037
399	2686	4030
400	2693	4022
401	2699	4015
402	2705	4008
403	2712	4001
404	2718	3993
405	2724	3986
406	2731	3979
407	2737	3971
408	2744	3966
409	2752	3960
410	2758	3952
411	2764	3945
412	2771	3938
413	2777	3931
414	2783	3924
415	2790	3916
416	2796	3910
417	2803	3903
418	2809	3896
419	2816	3889
420	2823	3883
421	2830	3876
422	2837	3870
423	2843	3863
424	2850	3856
425	2856	3849
426	2862	3841
427	2869	3834
428	2876	3828
429	2882	3821
430	2889	3814
431	2896	3808
432	2903	3802
433	2910	3795
434	2916	3787
435	2922	3780
436	2928	3773
437	2935	3766
438	2941	3758
439	2947	3751
440	2953	3744
441	2960	3737
442	2967	3731
443	2974	3724
444	2980	3717
445	2988	3711
446	2994	3704
447	3002	3699
448	3008	3691
449	3014	3684
450	3021	3677
451	3027	3670
452	3034	3664
453	3041	3657
454	3047	3650
455	3054	3644
456	3061	3637
457	3068	3630
458	3074	3623
459	3081	3616
460	3087	3609
461	3094	3603
462	3100	3596
463	3106	3589
464	3113	3582
465	3119	3574
466	3125	3567
467	3132	3560
468	3138	3553
469	3144	3546
470	3151	3539
471	3157	3532
472	3164	3525
473	3170	3517
474	3176	3510
475	3182	3503
476	3189	3496
477	3195	3489
478	3202	3482
479	3209	3476
480	3215	3469
481	3222	3463
482	3228	3456
483	3235	3449
484	3242	3442
485	3248	3435
486	3254	3428
487	3260	3421
488	3267	3414
489	3273	3407
490	3280	3400
491	3286	3393
492	3293	3386
493	3299	3379
494	3305	3372
495	3312	3365
496	3318	3358
497	3325	3351
498	3331	3344
499	3337	3337
500	3344	3330
501	3350	3323
502	3357	3317
503	3363	3310
504	3370	3303
505	3376	3296
506	3382	3289
507	3389	3282
508	3395	3275
509	3401	3268
510	3408	3261
511	3415	3255
512	3421	3248
513	3428	3241
514	3434	3234
515	3440	3227
516	3447	3220
517	3453	3213
518	3460	3207
519	3467	3200
520	3473	3193
521	3479	3186
522	3486	3179
523	3493	3173
524	3499	3166
525	3506	3159
526	3512	3152
527	3519	3146
528	3526	3139
529	3533	3133
530	3539	3126
531	3546	3119
532	3553	3113
533	3559	3106
534	3566	3100
535	3574	3093
536	3581	3087
537	3588	3081
538	3594	3074
539	3602	3068
540	3608	3061
541	3615	3054
542	3621	3047
543	3627	3041
544	3634	3034
545	3641	3027
546	3647	3020
547	3654	3014
548	3660	3007
549	3666	3000
550	3673	2993
551	3679	2986
552	3685	2979
553	3692	2972
554	3699	2965
555	3706	2959
556	3712	2952
557	3718	2945
558	3725	2939
559	3732	2932
560	3738	2925
561	3744	2918
562	3751	2911
563	3757	2904
